epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.798,3.25668,4.12705,2.18521,0.00368,0.06472,0.0018,0.00042,3.58516,3.99717,2.05614,0,0,0
2,23.429,3.32837,4.24369,2.17752,0.00548,0.10526,0.00256,0.00063,3.47262,3.94327,1.97986,1.656e-05,1.656e-05,1.656e-05
3,34.9815,3.11307,4.10131,2.11362,0.0085,0.17283,0.00612,0.00114,3.3181,3.8713,1.88936,3.28999e-05,3.28999e-05,3.28999e-05
4,46.6735,3.17062,4.02431,2.01089,0.01015,0.19806,0.01218,0.00304,3.10204,3.80695,1.77561,4.90198e-05,4.90198e-05,4.90198e-05
5,58.3018,3.01887,3.96573,1.98425,0.01536,0.27555,0.02793,0.00658,2.90908,3.73136,1.65291,6.49196e-05,6.49196e-05,6.49196e-05
6,69.7775,2.79325,3.84429,1.90748,0.02252,0.38112,0.07876,0.02169,2.72655,3.64021,1.52436,8.05995e-05,8.05995e-05,8.05995e-05
7,81.5562,2.65565,3.76239,1.74221,0.03355,0.48807,0.10511,0.02959,2.56813,3.57147,1.41972,9.60592e-05,9.60592e-05,9.60592e-05
8,93.6663,2.44312,3.69721,1.55849,0.03975,0.53748,0.12425,0.03756,2.51873,3.53718,1.37729,0.000111299,0.000111299,0.000111299
9,105.459,2.20737,3.44115,1.46529,0.04306,0.55173,0.12487,0.03371,2.53677,3.5507,1.40659,0.000126319,0.000126319,0.000126319
10,117.349,2.18962,3.3848,1.37367,0.05121,0.53537,0.12546,0.03,2.68584,3.58925,1.51835,0.000141118,0.000141118,0.000141118
11,129.337,2.06202,3.14922,1.35259,0.05072,0.48913,0.11316,0.0247,2.83453,3.63121,1.64957,0.000155698,0.000155698,0.000155698
12,141.457,2.08304,3.11799,1.30236,0.04074,0.43011,0.05619,0.00864,3.06642,3.70078,1.87326,0.000170057,0.000170057,0.000170057
13,153.465,2.00587,2.65324,1.2818,0.03433,0.38598,0.04273,0.00811,3.08343,3.69435,1.93151,0.000184197,0.000184197,0.000184197
14,165.915,2.02276,2.64364,1.22823,0.02068,0.2253,0.01347,0.00301,3.13909,3.78172,2.11108,0.000198116,0.000198116,0.000198116
15,178.047,2.02446,2.20962,1.22314,0.02988,0.34291,0.04075,0.0075,2.91786,3.67659,1.92474,0.000211816,0.000211816,0.000211816
16,189.98,2.01446,2.18901,1.23528,0.05547,0.68159,0.20246,0.04639,2.38194,3.39578,1.47868,0.000225295,0.000225295,0.000225295
