epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2345,3.39451,4.12116,1.79346,0,0,0,0,3.51016,3.86927,1.49748,0,0,0
2,6.27654,3.53429,4.17697,1.81202,0,0,0,0,3.461,3.86158,1.48007,1.63399e-05,1.63399e-05,1.63399e-05
3,9.19766,3.47353,4.11317,1.8037,0,0,0,0,3.37506,3.84684,1.44782,3.20197e-05,3.20197e-05,3.20197e-05
4,12.1751,3.50405,4.09671,1.68275,0.00036,0.00676,2e-05,0,3.30132,3.82685,1.41687,4.70394e-05,4.70394e-05,4.70394e-05
5,15.1427,3.43336,4.06218,1.72267,0.00104,0.02027,0.00019,3e-05,3.20206,3.798,1.37701,6.13989e-05,6.13989e-05,6.13989e-05
6,18.0309,3.238,3.97417,1.67044,0.00134,0.02703,0.00032,7e-05,3.04788,3.7811,1.33194,7.50984e-05,7.50984e-05,7.50984e-05
7,21.0177,3.05908,3.9186,1.55212,0.0023,0.0473,0.00051,0.00016,2.86148,3.74613,1.27709,8.81376e-05,8.81376e-05,8.81376e-05
8,24.0456,3.12765,3.88228,1.47567,0.00351,0.07432,0.00211,0.0004,2.7359,3.72159,1.24359,0.000100517,0.000100517,0.000100517
9,27.0377,2.67792,3.775,1.42092,0.00305,0.06757,0.0022,0.00048,2.58228,3.70623,1.20671,0.000112236,0.000112236,0.000112236
10,30.1709,2.74625,3.68759,1.36101,0.00349,0.08108,0.00294,0.00058,2.50207,3.69981,1.18996,0.000123295,0.000123295,0.000123295
11,33.1824,2.52709,3.58814,1.31192,0.00368,0.08784,0.0022,0.0004,2.46734,3.71316,1.18962,0.000133693,0.000133693,0.000133693
12,36.2622,2.63384,3.55676,1.24228,0.0031,0.07432,0.00198,0.00026,2.56324,3.7412,1.22406,0.000143432,0.000143432,0.000143432
13,39.2738,2.31615,3.37904,1.22447,0.00254,0.06081,0.00178,0.00019,2.57144,3.76165,1.24103,0.00015251,0.00015251,0.00015251
14,42.4993,2.45288,3.32542,1.20698,0.00203,0.0473,0.00143,0.00015,2.66785,3.80179,1.29551,0.000160929,0.000160929,0.000160929
15,45.6058,2.26938,3.12003,1.16398,0.00208,0.0473,0.00407,0.00041,2.63609,3.79168,1.29326,0.000168687,0.000168687,0.000168687
16,48.6594,2.22762,2.91045,1.13563,0.00216,0.0473,0.00217,0.00022,2.47573,3.71151,1.22606,0.000175785,0.000175785,0.000175785
17,51.7443,2.26096,2.8041,1.10913,0.00287,0.06081,0.00331,0.00035,2.35912,3.64008,1.18056,0.000182223,0.000182223,0.000182223
18,54.7167,2.25425,2.65938,1.14612,0.00287,0.06081,0.00331,0.00035,2.35912,3.64008,1.18056,0.000188001,0.000188001,0.000188001
19,57.7086,2.32927,2.68998,1.14577,0.00583,0.09101,0.01006,0.00473,2.22008,3.53083,1.12342,0.000193119,0.000193119,0.000193119
20,60.7055,2.20861,2.48985,1.087,0.00583,0.09101,0.01006,0.00473,2.22008,3.53083,1.12342,0.000197576,0.000197576,0.000197576
21,63.7055,2.25822,2.49199,1.11016,0.02705,0.3504,0.16856,0.0499,2.13509,3.42908,1.09618,0.000201374,0.000201374,0.000201374
22,66.7141,2.31702,2.35515,1.10433,0.02705,0.3504,0.16856,0.0499,2.13509,3.42908,1.09618,0.000204511,0.000204511,0.000204511
23,69.6856,2.09082,2.28877,1.09934,0.04981,0.64928,0.30969,0.09817,2.06645,3.31127,1.06975,0.000206988,0.000206988,0.000206988
24,72.654,2.10535,2.17032,1.06232,0.04981,0.64928,0.30969,0.09817,2.06645,3.31127,1.06975,0.000208805,0.000208805,0.000208805
25,75.7041,2.16647,2.19585,1.11308,0.05952,0.7765,0.39763,0.14319,1.9787,3.19196,1.0478,0.000209962,0.000209962,0.000209962
26,78.6614,2.13902,2.01041,1.0797,0.05952,0.7765,0.39763,0.14319,1.9787,3.19196,1.0478,0.000210459,0.000210459,0.000210459
27,81.6405,2.13932,2.01474,1.09304,0.0601,0.79392,0.43238,0.18087,1.90364,3.0981,1.03735,0.000210295,0.000210295,0.000210295
28,84.6483,2.09048,1.96474,1.09755,0.0601,0.79392,0.43238,0.18087,1.90364,3.0981,1.03735,0.000209472,0.000209472,0.000209472
29,87.5653,2.0764,1.92659,1.09674,0.06113,0.80849,0.45026,0.19305,1.8691,3.042,1.03535,0.000207988,0.000207988,0.000207988
30,90.55,2.09516,1.93139,1.11137,0.06113,0.80849,0.45026,0.19305,1.8691,3.042,1.03535,0.000205844,0.000205844,0.000205844
31,93.6497,2.35374,1.94697,1.11348,0.06105,0.80564,0.46438,0.19958,1.87491,3.01711,1.03698,0.000203041,0.000203041,0.000203041
32,96.7575,2.10624,1.81375,1.07844,0.06105,0.80564,0.46438,0.19958,1.87491,3.01711,1.03698,0.000199577,0.000199577,0.000199577
33,99.8744,2.13094,1.90245,1.09258,0.05996,0.79212,0.47278,0.18778,1.9017,3.01085,1.04187,0.000195452,0.000195452,0.000195452
34,102.853,2.20455,1.83663,1.04216,0.05996,0.79212,0.47278,0.18778,1.9017,3.01085,1.04187,0.000190668,0.000190668,0.000190668
